Algorithm,Utility_Mean,Utility_Std,Latency_Mean,Latency_Std,Energy_Mean,Energy_Std
cSA-GOA (Proposed),400.5000,109.8399,70.115575,20.041393,75003.8815,18520.1545
PSO,466.3333,32.0671,81.700197,7.851544,4317.8434,3111.1340
GA,509.1333,77.8915,90.330020,16.760771,13965.0939,14582.9292
GOA,352.6333,6.2504,60.267810,1.664250,104915.5135,1380.4739
cSA,453.9333,1.6595,78.620395,0.466952,3196.1320,111.8712
NSGA-II,452.4000,1.3797,78.191440,0.311427,3266.5237,255.2207
